Time,integrated_flux_mod,integrated_flux_s9_mod,integrated_flux_s10_mod,integrated_flux_s11_mod,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
2025-06-30 18:54:59.892,,,,,1275779.684795059,198662.65308327964,-100709.68781496515
2025-06-30 18:55:04.892,,2221.478845262427,,824663.3368707035,1275779.674608186,198664.06947198597,-100709.60809889773
2025-06-30 18:55:09.892,115012.38891653562,365.0133882616576,,,1275779.664420927,198665.48591574977,-100709.52837907942
2025-06-30 18:55:14.892,,,3665325.4943629894,,1275779.6542340259,198666.9023295809,-100709.44866027514
2025-06-30 18:55:19.892,282225.38786799996,1096767.467948425,3190955.199266343,636152.3934096949,1275779.644047177,198668.318741791,-100709.368940924
2025-06-30 18:55:24.892,1006107.6508029695,1222868.6927100003,5280877.078891659,4656711.291734041,1275779.6338601126,198669.7352090472,-100709.28921787912
2025-06-30 18:55:29.892,21662631.8728889,1523549.723387039,130235250.45736313,27354603.07712618,1275779.6236734723,198671.15161804776,-100709.20949735586
2025-06-30 18:55:34.893,122464177.12487309,30444752.99909334,756660087.5457513,117048761.25292104,1275779.6134869019,198672.5680254432,-100709.12977632531
2025-06-30 18:55:39.893,405704435.51175606,209866040.3627083,2097920614.6958432,625767732.5807136,1275779.6033004606,198673.98443122444,-100709.05005472363
2025-06-30 18:55:44.893,175414890.6077997,55623928.80966067,956195243.410672,246006927.20300302,1275779.5931139523,198675.4008637271,-100708.97033097077
2025-06-30 18:55:49.893,22827286.534036286,,124055929.51405953,32290739.402296998,1275779.5829274633,198676.81729461398,-100708.89060667338
2025-06-30 18:55:54.893,10439151.138701929,2238157.7027349747,54032579.21440624,18600411.512436867,1275779.57274126,198678.23369557929,-100708.81088340742
2025-06-30 18:55:59.893,2145181.388179084,1113093.3509784166,17467617.509716272,2259102.966137286,1275779.5625550286,198679.6501232527,-100708.7311579751
2025-06-30 18:56:04.893,2898244.989867652,,17445388.70005288,2060408.875344614,1275779.5523690835,198681.06652098955,-100708.65143356746
2025-06-30 18:56:09.893,4082659.2989712586,2827278.597317643,30414149.551976755,806336.9221381752,1275779.5421831987,198682.48291712283,-100708.57170859969
2025-06-30 18:56:14.893,15804478.508474547,3208847.1296422295,122175727.20954916,,1275779.5319972145,198683.89933993606,-100708.49198152166
2025-06-30 18:56:19.893,10051094.021748075,3335294.089177733,76256960.27135552,,1275779.5218113367,198685.31576117413,-100708.41225380811
2025-06-30 18:56:24.893,7925520.987076642,2410398.2025144943,63617879.53247185,,1275779.5116257241,198686.73215249,-100708.33252717409
2025-06-30 18:56:29.893,4650511.330143064,2215970.33064555,39541144.37648297,,1275779.501440025,198688.14857051577,-100708.2527983567
2025-06-30 18:56:34.893,1122104.071538476,108249.5425839002,10561490.750303492,508794.42308424023,1275779.491254645,198689.564958596,-100708.1730706357
