Time,integrated_flux_mod,integrated_flux_s15_mod,integrated_flux_s16_mod,integrated_flux_s17_mod,integrated_flux_s18_mod,integrated_flux_s19_mod,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
2025-07-02 09:34:16.139,,2000000.000000001,,,3766666.666666664,,1275565.3605174317,237430.62915854497,-98273.54945969454
2025-07-02 09:34:21.139,,733333.333333334,333333.33333333395,,,,1275565.3564636603,237431.99771045835,-98273.45411133161
2025-07-02 09:34:26.139,785416.6666666642,,,15466666.66666666,6566666.666666664,66666.66666666605,1275565.3524102995,237433.36620583636,-98273.35876616195
2025-07-02 09:34:31.139,,733333.333333334,333333.33333333395,,,4200000.0,1275565.3483571748,237434.73475411808,-98273.26341666305
2025-07-02 09:34:36.139,,,1066666.666666666,,,,1275565.344304448,237436.1032732225,-98273.1680684798
2025-07-02 09:34:41.139,1147916.666666666,2066666.666666667,3066666.666666666,,13900000.0,,1275565.340251899,237437.47184524153,-98273.07271595753
2025-07-02 09:34:46.139,,,,,,11399999.999999998,1275565.3361998731,237438.84036068938,-98272.97736665531
2025-07-02 09:34:51.139,14583.333333333023,5466666.666666668,,6266666.666666664,,,1275565.3321482032,237440.2088743382,-98272.88201679336
2025-07-02 09:34:56.139,,200000.00000000093,933333.333333334,4399999.999999996,,,1275565.328096682,237441.57741350034,-98272.7866644439
2025-07-02 09:35:01.139,418750.00000000093,,,,,3400000.0,1275565.3240457496,237442.9459234593,-98272.69131351379
2025-07-02 09:35:06.140,,,,,,200000.0,1275565.319994972,237444.31448637534,-98272.59595816612
2025-07-02 09:35:11.139,,,,8399999.999999996,,,1275565.3159447103,237445.68296534652,-98272.5006079498
2025-07-02 09:35:16.140,,5200000.0,,,,1600000.0,1275565.311894664,237447.05149724858,-98272.40525339241
2025-07-02 09:35:21.140,,3600000.000000001,,,299999.9999999963,,1275565.3078450642,237448.41999994122,-98272.30990017456
2025-07-02 09:35:26.140,531250.0,2066666.666666667,3066666.666666666,,833333.3333333321,66666.66666666605,1275565.303795692,237449.78852819555,-98272.21454448631
2025-07-02 09:35:31.140,,,,,6966666.666666664,,1275565.2997467758,237451.15702725755,-98272.11919012386
2025-07-02 09:35:36.140,852083.3333333349,,4600000.0,,,3266666.666666666,1275565.2956981927,237452.52552449465,-98272.02383524261
2025-07-02 09:35:41.140,,933333.333333334,533333.333333334,,,2800000.0,1275565.2916498503,237453.8940472832,-98271.92847785645
2025-07-02 09:35:46.140,1118749.9999999972,2266666.666666667,,,14966666.666666664,7066666.666666666,1275565.2876019252,237455.26256821043,-98271.83311994653
2025-07-02 09:35:51.140,52083.33333333302,,,10799999.999999996,,,1275565.283554342,237456.63105999105,-98271.73776336294
2025-07-02 09:35:56.140,,733333.333333334,,4266666.666666664,,2466666.666666666,1275565.2795071402,237457.99954992643,-98271.6424062177
2025-07-02 09:36:01.140,,,,,1633333.333333332,2066666.666666666,1275565.2754603205,237459.36803804286,-98271.54704851797
