CME_Number,Detected_Start,Detected_End,Avg_Score,Strength
12,2025-07-03 09:35:10.928,2025-07-03 10:01:20.942,1241027.82,Strong
12,2025-07-03 10:12:15.947,2025-07-03 10:31:15.958,1093106.66,Strong
12,2025-07-03 10:53:45.970,2025-07-03 10:54:30.970,734713.1,Strong
12,2025-07-03 11:07:05.977,2025-07-03 11:49:36.000,1495707.78,Strong
12,2025-07-03 12:00:21.006,2025-07-03 12:09:11.010,599409.79,Strong
12,2025-07-03 12:27:06.020,2025-07-03 12:31:11.022,10.84,Weak
12,2025-07-03 12:46:46.031,2025-07-03 12:50:46.033,1206061.16,Strong
12,2025-07-03 13:09:06.043,2025-07-03 13:09:06.043,10.84,Weak
12,2025-07-03 13:39:06.060,2025-07-03 14:01:01.072,10.84,Weak
12,2025-07-03 14:13:26.078,2025-07-03 14:13:26.078,10.84,Weak
12,2025-07-03 14:36:41.091,2025-07-03 14:38:31.092,10.84,Weak
12,2025-07-03 15:19:46.115,2025-07-03 15:24:06.117,812140.91,Strong
12,2025-07-03 15:36:31.124,2025-07-03 15:38:11.125,849231.83,Strong
12,2025-07-03 15:59:31.136,2025-07-03 16:09:01.142,1055037.75,Strong
12,2025-07-03 16:19:11.147,2025-07-03 16:58:21.168,1731488.48,Strong
12,2025-07-03 17:35:41.188,2025-07-03 17:46:46.193,10.84,Weak
12,2025-07-03 18:06:36.204,2025-07-03 18:06:36.204,10.84,Weak
12,2025-07-03 18:18:06.210,2025-07-03 18:37:06.220,10.84,Weak
12,2025-07-03 18:54:51.229,2025-07-03 18:54:51.229,10.84,Weak
12,2025-07-03 19:06:56.236,2025-07-03 19:10:06.237,10.84,Weak
12,2025-07-03 19:53:56.260,2025-07-03 20:08:11.267,10.84,Weak
12,2025-07-03 20:21:26.274,2025-07-03 21:07:36.298,10.84,Weak
12,2025-07-03 21:20:26.305,2025-07-03 21:20:26.305,10.84,Weak
12,2025-07-03 22:03:21.328,2025-07-03 22:12:46.332,10.84,Weak
